lon,lat
85.48400087,27.86070834
85.16592361,27.7546362
85.28805929,27.7560783
85.48709726,27.8610063
85.17137941,27.75637814
85.47908709,27.86189281
85.32533263,27.75770543
85.41805908,27.86199669
85.34544416,27.75859795
85.48187276,27.86192737
85.19449111,27.75895557
85.40029043,27.86271856
85.19513753,27.75923257
85.38726825,27.86388901
85.16798404,27.75896337
85.37488132,27.86435429
85.34629818,27.7595343
85.30338578,27.86447706
85.28275299,27.75975864
85.37510692,27.86467128
85.32798118,27.76051303
85.38567447,27.86476168
85.27519107,27.76117117
85.39789001,27.86497731
85.3240485,27.76197472
85.30503097,27.86608412
85.2749346,27.76238178
85.38936495,27.86690199
85.28021566,27.76254908
85.47893642,27.86714266
85.34567395,27.76275753
85.33671791,27.86787384
85.28038074,27.76300401
85.32514392,27.86839303
85.32418176,27.76321657
85.39327022,27.86983546
85.3475953,27.76352006
85.39504619,27.87076413
85.28370089,27.76337933
85.38692059,27.87109289
85.2923814,27.76376287
85.38156943,27.8720921
85.31681315,27.76398841
85.28280656,27.872048
85.12797055,27.76423231
85.28394495,27.87214028
85.347596,27.76448852
85.3446044,27.87222623
85.13569812,27.76437018
85.38285849,27.87230724
85.10120162,27.76522378
85.28825167,27.8723885
85.1365524,27.76528778
85.29595556,27.87230523
85.34651113,27.76561561
85.40817883,27.87268147
85.13643364,27.76557305
85.40567132,27.87273459
85.26851497,27.76640588
85.28838331,27.87262551
85.44726032,27.7666995
85.28813125,27.87269528
85.44047777,27.76705196
85.28814291,27.87288402
85.27286033,27.76724599
85.29591287,27.87272198
85.34748432,27.76737342
85.11599749,27.87307472
85.30042759,27.7670734
85.39806744,27.87325199
85.09736803,27.76802764
85.34196891,27.87403949
85.31711182,27.76775129
85.35636891,27.87441431
85.28033539,27.76833698
85.35659648,27.87461883
85.48417859,27.76885503
85.08847326,27.87507048
85.483205,27.76904015
85.35746046,27.87579388
85.48323471,27.76911267
85.34979469,27.87713405
85.48435487,27.76924374
85.34748274,27.87800073
85.29046321,27.76944032
85.34904563,27.87809935
85.09787634,27.7694382
85.37559444,27.87865928
85.29899057,27.77188961
85.25106293,27.8788167
85.33193713,27.77427496
85.2201482,27.87929631
85.31859161,27.77477008
85.4805944,27.87898256
85.30589815,27.77563429
85.36573724,27.87954058
85.43302015,27.77579534
85.34551809,27.88157263
85.26001077,27.77583829
85.26833037,27.88247498
85.30206981,27.7761535
85.09485869,27.88272579
85.30587183,27.77627515
85.26776376,27.88318364
85.43393384,27.77681968
85.26777564,27.88335431
85.43351172,27.77687573
85.24462663,27.88452312
85.43442156,27.77685331
85.14972905,27.89027156
85.2987331,27.77641162
85.41220261,27.89446932
85.41440577,27.89541027
85.30109953,27.77681513
85.43427158,27.77699839
85.41904063,27.9015934
85.12521326,27.77720403
85.44542767,27.90257231
85.3054132,27.77716858
85.3170644,27.90399613
85.19342035,27.77677253
85.31709278,27.90492523
85.30861491,27.77801702
85.31738261,27.90506909
85.25160115,27.77821518
85.33462756,27.90549521
85.2513564,27.77839679
85.13965416,27.91025439
85.29342119,27.77848251
85.33274057,27.91053128
85.196753,27.77844005
85.4320089,27.91230262
85.29272751,27.77906591
85.29428549,27.91304776
85.18649154,27.77819711
85.35542967,27.91437541
85.25650703,27.77936677
85.3031049,27.91474832
85.43164309,27.77972947
85.41808985,27.91487428
85.19469296,27.77958053
85.38767084,27.91538826
85.20749328,27.78027276
85.38927025,27.91563287
85.2789194,27.7806032
85.40883956,27.92069905
85.23999539,27.78109212
85.40845488,27.92100827
85.31991914,27.78113048
85.13238953,27.92137906
85.20507257,27.78021603
85.13200172,27.92117152
85.1991709,27.78128811
85.39866161,27.92245224
85.22084144,27.78219494
85.13205468,27.92315724
85.31606227,27.78223834
85.29010389,27.92472968
85.3252807,27.78236467
85.3414977,27.92485202
85.22108693,27.78249462
85.33545851,27.92481879
85.31711892,27.78294785
85.30368578,27.92488904
85.31690788,27.78304031
85.32502016,27.92501671
85.31689925,27.78313205
85.32814948,27.92509354
85.31745114,27.7830951
85.31663327,27.92521003
85.25787057,27.78345753
85.32466031,27.9252852
85.32648916,27.78382314
85.35151134,27.92539096
85.19676761,27.78348742
85.14197666,27.92564802
85.25785176,27.78380895
85.32831673,27.92587445
85.26706738,27.78405844
85.31852244,27.92660918
85.31657765,27.78404889
85.33710846,27.9266498
85.32062973,27.78379145
85.36243438,27.926843
85.33364507,27.92692858
85.31763509,27.78441838
85.31806358,27.92701768
85.26626146,27.78444022
85.32058247,27.78473452
85.33365288,27.92722108
85.32308852,27.78481135
85.30085695,27.9281651
85.32077144,27.78481865
85.33596548,27.92889863
85.32425864,27.78494553
85.33561681,27.92964994
85.22033354,27.78503693
85.08603895,27.92975738
