code,title,value,latest_date,source,source_link,notes,explore,units
NPEQ01,Number of People Killed (estimate),5006,29/04/15,UN RCO (Nepal),https://data.hdx.rwlabs.org/dataset/nep-earthquake-topline-figure,,,count
NPEQ03,Number of People Injured (estimate),10194,29/04/15,UN RCO (Nepal),https://data.hdx.rwlabs.org/dataset/nep-earthquake-topline-figure,,,count
NPEQ04,Funding received,22227824,29/04/15,FTS,https://data.hdx.rwlabs.org/dataset/nepal-earthquake-april-2015-humanitarian-contributions,,,dollars_million
NPEQ05,Population affected (estimate),8000000,28/04/15,UN RCO (Nepal),https://data.hdx.rwlabs.org/dataset/nep-earthquake-topline-figure,,,million
