lon,lat
87.54970596,26.65877462
87.54978448,26.65878414
87.54991773,26.65880318
87.54998673,26.65880794
87.54992963,26.65892215
87.5498868,26.65891739
87.54977258,26.6588936
87.54962268,26.65887456
87.54975593,26.65896736
87.54982255,26.65897212
87.54995818,26.65898877
87.54989631,26.65911013
87.54958461,26.65906254
87.54956319,26.65915534
87.54961316,26.65915534
87.54962744,26.65927431
87.54970358,26.65928859
87.54984397,26.65931238
87.54969644,26.65934807
87.55010095,26.65911964
87.54993201,26.65868182
87.54979638,26.65867231
87.5498059,26.65855571
87.54982731,26.65848433
87.54991535,26.65838439
87.54998198,26.65839153
87.55002956,26.65852478
87.55010333,26.65852478
87.55000577,26.65857237
87.5500367,26.6586961
87.55016281,26.65870086
87.5502223,26.65885552
87.55027227,26.65885552
87.55035317,26.65885552
87.55043169,26.65886266
87.55042218,26.65898639
87.55020327,26.6589507
87.5501176,26.65902685
87.55025085,26.65905302
87.55032224,26.65914106
87.55040076,26.65915772
87.55007002,26.65921244
87.55013426,26.65921958
87.55013426,26.65934093
87.55005098,26.65933142
87.55019613,26.65942897
87.55027227,26.65943135
87.55034365,26.65944801
87.5504769,26.65944801
87.55054591,26.65945515
87.55063157,26.65946943
87.55056494,26.65939804
87.55049356,26.65938852
87.55050546,26.65928383
87.5505816,26.65928859
87.55059112,26.65918151
87.5506625,26.65919103
87.55073626,26.65920293
87.55052211,26.6590554
87.55086,26.65911251
87.5509171,26.65920768
87.55099087,26.6592172
87.55096945,26.65912202
87.55097183,26.65933142
87.55104797,26.65934093
87.55110984,26.65935045
87.55117646,26.65935521
87.55122881,26.65936711
87.5512645,26.65936949
87.55105511,26.65944087
87.5511265,26.65964075
87.55121454,26.65964551
87.55120502,26.65972165
87.55112888,26.65971689
87.55060064,26.6595884
87.55053401,26.65957888
87.55068154,26.65959792
87.55081955,26.65962885
87.55084572,26.65950512
87.55086,26.65943373
87.55065774,26.6592291
87.54973927,26.65948846
87.54952512,26.65945515
87.54958698,26.65955984
87.5497131,26.65957412
87.5498059,26.65959316
87.55011047,26.65953605
87.55071009,26.65873893
87.55070771,26.65886504
87.55079575,26.65894119
87.55095042,26.65895546
87.5510099,26.65887218
87.55072437,26.65842484
87.55046739,26.65846291
87.55050784,26.65967168
87.55079337,26.65971213
87.55094328,26.65971927
87.55096945,26.65866755
87.55081717,26.65846053
87.55081003,26.65833204
87.55088855,26.65836298
87.55099325,26.65840105
87.55116457,26.65885315
87.55117409,26.65875797
87.55125023,26.65869372
87.55136206,26.65862234
87.55109318,26.65856047
87.55086713,26.65823211
87.5509409,26.6582559
87.55120502,26.65835346
87.55125737,26.65836774
87.55132875,26.65839867
87.55137872,26.65832253
87.55126926,26.65827732
87.5511027,26.65822735
87.55089807,26.65814407
87.54960364,26.65812979
87.54967978,26.65813217
87.54974641,26.65813693
87.54944422,26.65820355
87.54942518,26.65809172
87.54937521,26.65827018
87.54935856,26.65847719
87.5494466,26.65847957
87.54947753,26.65862472
87.54934904,26.65874131
87.54938711,26.65885315
87.54948229,26.6588579
87.5494347,26.65893881
87.54942518,26.6590316
87.54941566,26.65924576
87.54939187,26.65942184
87.54937759,26.65952891
87.55044121,26.65819165
87.55147152,26.65856523
87.55153338,26.65878176
87.55153576,26.65898877
87.55130496,26.65907681
87.55127878,26.65915296
87.55140965,26.65927193
87.55154766,26.65918389
87.55151911,26.65950512
87.55145962,26.6596812
87.55134303,26.65965026
87.55142155,26.65974306
87.55148342,26.65975496
87.55015092,26.65963361
87.55022706,26.65964313
87.55026275,26.65975496
87.55000339,26.65972403
87.54992963,26.65971689
87.54977972,26.65969309
87.5497131,26.65968358
87.54934666,26.65800606
87.54947991,26.65803223
87.54953226,26.65804889
87.54969644,26.65805603
87.54975355,26.65806078
87.54993201,26.65827732
87.54961078,26.65987036
87.54973927,26.65988226
87.54982017,26.6598894
87.54990821,26.65991319
87.54997484,26.65991319
87.55005336,26.65991795
87.5496203,26.65975853
87.54951084,26.65974187
87.54977258,26.65976805
87.55006526,26.6598085
87.55013426,26.65982278
87.55025799,26.65984181
87.5504769,26.65996792
87.55054829,26.6599822
87.55067202,26.65999648
87.55074578,26.66000599
87.55083144,26.66002027
87.55092186,26.66002979
87.55087665,26.65988702
87.55087903,26.65983467
87.55096707,26.65984657
87.55070771,26.65981802
87.55064109,26.65986799
87.55020564,26.65983229
87.55130258,26.65989178
87.5513692,26.65983467
87.54936451,26.65971927
87.54930502,26.65970737
87.54924077,26.65981445
87.54918605,26.65968596
87.54916463,26.65950036
87.54922888,26.65951701
87.5492836,26.65963361
87.54925505,26.65930286
87.54924315,26.65922434
87.54925505,26.65910775
87.54924077,26.65901495
87.54919794,26.65900781
87.54927884,26.65890787
87.5492027,26.65882697
87.5492146,26.65843793
