lon,lat
85.37103979,27.72598247
85.35578848,27.73116551
85.29954927,27.72190826
85.30098212,27.72128528
85.35141314,27.71967062
85.34863253,27.7193006
85.34410824,27.71811242
85.34267797,27.71886155
85.34196438,27.71610619
85.3419193,27.7152867
85.34264905,27.71971351
85.3507058,27.71806645
85.34780961,27.72001876
85.3432025,27.7190344
85.34896701,27.71904101
85.34498004,27.71722631
85.34545253,27.71900865
85.34398399,27.72112133
85.31496292,27.69497132
85.31498758,27.7019986
85.31279052,27.69350529
85.31112372,27.69841768
85.31036601,27.69915173
85.31835165,27.70140445
85.31212424,27.70228726
85.31419136,27.69874586
85.29592284,27.71028995
85.28808966,27.7084081
85.29034478,27.71056647
85.29101966,27.70418382
85.29766522,27.70436994
85.29691784,27.70358204
85.29645212,27.71116321
85.29542243,27.70424105
85.29146152,27.70346734
85.290681,27.70375655
85.29679468,27.70453397
85.29504391,27.70905899
85.29771457,27.70705525
85.2963112,27.70405298
85.29726795,27.70709137
85.29564353,27.70598121
85.29483069,27.70315373
85.29537317,27.70737726
85.28707832,27.71066414
85.29508751,27.7106307
85.29745885,27.70920677
85.2978584,27.70700458
85.29012088,27.71207136
85.28924021,27.71240484
85.29012755,27.71168294
85.28874141,27.70843913
85.29757621,27.70743108
85.29347679,27.71242578
85.2967902,27.70745303
85.28749721,27.71163237
85.29509732,27.7036687
85.29540494,27.7108178
85.29666289,27.70901924
85.28767299,27.70553541
85.28776755,27.71178848
85.29271285,27.70389396
85.28990227,27.7031577
85.29756016,27.71106964
85.28729165,27.7042798
85.29580468,27.70544978
85.29652477,27.70638228
85.29689667,27.71001827
85.29343113,27.70927781
85.29623397,27.7071434
85.29424665,27.70721707
85.2870847,27.70315094
85.29608123,27.70882757
85.2916978,27.70406686
85.29592107,27.71112392
85.29200667,27.70405428
85.28771808,27.70837247
85.28722926,27.71249146
85.28990523,27.70751324
85.28891141,27.70324038
85.28453847,27.6551775
85.28164319,27.65568986
85.28068525,27.65523807
85.28173992,27.65526258
85.27910283,27.65962166
85.27894179,27.66028436
85.28154209,27.65644697
85.2826976,27.65661659
85.28190903,27.65735263
85.2816011,27.65473404
